City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,usoke,-5.1667,32.35,18.88,88,50,1.57,TZ,1730068902
253,heniches'k,46.1759,34.8034,12.04,79,32,2.79,UA,1730068903
254,keflavik,64.0049,-22.5624,1.24,75,0,0.0,IS,1730068904
255,stephenville,32.2207,-98.2023,32.3,36,0,0.45,US,1730068906
256,devarkonda,16.7,78.9333,22.99,72,30,0.43,IN,1730068907
257,jayapura,-2.5333,140.7,26.66,74,64,2.53,ID,1730068908
258,pearsall,28.8922,-99.095,31.67,32,0,4.79,US,1730068909
259,yeraliyev,43.2,51.65,9.77,58,100,1.75,KZ,1730068910
260,puerto carreno,6.189,-67.4859,31.99,58,40,5.14,CO,1730068911
261,aiken,33.5835,-81.5998,16.99,76,100,4.12,US,1730068912
262,tecolotlan,20.2167,-104.05,26.86,30,0,3.03,MX,1730068914
263,lata,40.1629,-8.3327,8.47,86,31,2.26,PT,1730068915
264,kudahuvadhoo,2.6708,72.8944,28.16,70,94,7.04,MV,1730068916
265,oume,35.7839,139.2431,17.59,90,100,2.57,JP,1730068917
266,airuk,7.2772,168.8203,28.65,68,82,2.28,MH,1730068918
267,sitka,57.0531,-135.33,8.89,74,16,1.91,US,1730068919
268,tshabong,-26.05,22.45,9.29,46,27,4.69,BW,1730068920
269,dudinka,69.4058,86.1778,-11.1,94,100,7.66,RU,1730068921
270,shenjiamen,29.9576,122.298,18.59,78,100,7.81,CN,1730068923
271,flin flon,54.7682,-101.865,2.91,56,75,6.69,CA,1730068925
272,west wodonga,-36.1257,146.8486,20.97,100,59,2.43,AU,1730068926
273,dhaulpur,26.7,77.9,23.33,63,4,1.3,IN,1730068927
274,jamestown,42.097,-79.2353,8.8,61,0,3.6,US,1730068928
275,lorengau,-2.0226,147.2712,28.68,81,19,5.53,PG,1730068929
276,pacific grove,36.6177,-121.9166,20.23,87,40,3.6,US,1730068930
277,tazacorte,28.629,-17.9293,19.54,86,75,7.72,ES,1730068932
278,georgetown,5.4112,100.3354,25.96,93,20,1.54,MY,1730068933
279,zhezqazghan,47.7833,67.7667,4.2,82,100,8.43,KZ,1730068934
280,rabo de peixe,37.8,-25.5833,17.77,99,75,2.06,PT,1730068935
281,novyy urengoy,66.0833,76.6333,-4.49,97,100,3.0,RU,1730068936
282,belyy yar,53.6039,91.3903,5.94,75,0,2.0,RU,1730068937
283,erenhot,43.6475,111.9767,5.55,59,85,3.74,CN,1730068938
284,island harbour,50.724,-1.2758,12.79,75,95,2.24,GB,1730068940
285,gemena,3.25,19.7667,22.07,99,100,0.9,CD,1730068941
286,merizo village,13.2658,144.6691,26.32,93,97,4.8,GU,1730068942
287,as sulayyil,20.4607,45.5779,23.33,50,5,4.15,SA,1730068943
288,truth or consequences,33.1284,-107.2528,31.2,14,0,6.69,US,1730068944
289,amasra,41.7463,32.3863,12.72,72,0,2.16,TR,1730068945
290,qarazhal,48.0078,70.7903,3.8,93,96,10.15,KZ,1730068946
291,ulanhot,46.0833,122.0833,3.55,61,1,0.95,CN,1730068947
292,isafjordur,66.0755,-23.124,-4.56,67,18,4.22,IS,1730068949
293,viterbo,42.4167,12.0833,16.25,94,75,0.55,IT,1730068950
294,hagere selam,6.4833,38.5167,10.61,98,100,1.2,ET,1730068951
295,macapa,0.0389,-51.0664,29.99,66,20,5.66,BR,1730068952
296,wusong,30.95,117.7833,14.95,88,100,1.02,CN,1730068953
297,the dalles,45.5946,-121.1787,18.2,53,67,4.47,US,1730068954
298,lipetsk,52.6031,39.5708,6.19,79,98,2.17,RU,1730068955
299,yung shue wan,22.2333,114.1167,25.34,74,81,0.45,HK,1730068956
300,fort mcmurray,56.7268,-111.381,4.77,65,75,6.69,CA,1730068958
301,usogorsk,63.4106,48.6872,0.26,92,17,1.66,RU,1730068959
302,colonia,50.9333,6.95,15.07,91,100,1.54,DE,1730068960
303,sovetskiy,61.3614,63.5842,-0.19,86,100,1.91,RU,1730068961
304,deir ez-zor,35.3359,40.1408,17.44,22,0,2.39,SY,1730068962
305,alakurtti,66.9672,30.3491,5.9,94,100,4.11,RU,1730068963
306,robore,-18.3333,-59.75,22.89,90,100,0.57,BO,1730068964
307,jutai,-5.1833,-68.9,23.35,97,100,1.77,BR,1730068966
308,acarau,-2.8856,-40.12,25.67,81,5,7.44,BR,1730068967
309,enewetak,11.3474,162.3373,28.47,78,64,2.85,MH,1730068968
310,smithers,54.7804,-127.1743,4.18,100,100,2.06,CA,1730068802
311,altai,46.3722,96.2583,-1.05,66,2,1.49,MN,1730068970
312,yuzhno-kurilsk,44.0306,145.8556,12.03,93,100,5.24,RU,1730068972
313,sidi bennour,32.6524,-8.4277,15.14,74,0,3.62,MA,1730068974
314,marquette,46.5333,-87.6335,9.9,65,65,0.89,US,1730068975
315,gadzhiyevo,69.2551,33.3362,5.13,89,100,9.79,RU,1730068978
316,cockburn town,21.4612,-71.1419,27.98,94,75,7.72,TC,1730068979
317,la ronge,55.1001,-105.2842,5.14,65,75,8.23,CA,1730068980
318,ekibastuz,51.6667,75.3667,7.45,67,100,5.3,KZ,1730068981
319,olinda,-8.0089,-34.8553,26.85,78,75,3.6,BR,1730068983
320,kone,-21.0595,164.8658,28.45,51,40,1.88,NC,1730068984
321,sarangani,5.4033,125.4636,28.47,81,94,9.56,PH,1730068985
322,jieshi,22.8134,115.8257,22.62,80,76,4.32,CN,1730068986
323,touros,-5.1989,-35.4608,25.81,78,32,5.53,BR,1730068987
324,joutseno,61.118,28.5076,9.03,95,100,7.64,FI,1730068988
